Date,Crude_Oil_Demand (1000 b/d),Global_GDP (in $),"Industrial_Production  (1,000 b/d)",Population,Crude_Oil_Price (US dollars per barrel),Gasoline_Price (nominal $),Energy_Efficiency_Regulations,Vehicle_Sales(Millions of Unit),Public_Transportation_Usage,Electric_Vehicle_Adoption,Renewable_Energy_Capacity (TW),Renewable_Energy_Consumption (TWh),Temperature (Change °C),Major_Conflicts,Consumer_Preferences,Global_oil_capacity (1000 b/d),Global_Oil_Production (1000 b/d),Proven_Oil_Reserves(m b),Road_Network_Expansion (In KM),Renewable_Energy_Investments ($bn),Natural_Disaster_Incidents
01-01-1960,21396,1380000000000.0,"20,999",28267877110,18.8,965.03,,184.905,,,1.04267,7511.907675,0.464,,Oil,92007.8,20999.0,291167.0,35400754,238.7,39
01-01-1961,22680,1450000000000.0,"22,406",28651428413,17.62,965.03,,184.905,,,1.04267,7511.907675,0.211,,Oil,92007.8,22406.0,297297.0,35400754,238.7,29
01-01-1962,24590,1550000000000.0,"24,327",29169421901,17.41,965.03,,184.905,,,1.04267,7511.907675,0.038,,Oil,92007.8,24327.0,310731.0,35400754,238.7,29
01-01-1963,26772,1670000000000.0,"26,033",29809896848,17.2,965.03,,184.905,,,1.04267,7511.907675,0.168,,Oil,92007.8,26033.0,332350.0,35400754,238.7,42
01-01-1964,28887,1830000000000.0,"28,140",30455401349,16.98,965.03,,184.905,,,1.04267,7511.907675,-0.246,,Oil,92007.8,28140.0,342522.0,35400754,238.7,60
01-01-1965,31046,1990000000000.0,"30,260",31109834218,16.72,965.03,,184.905,,,1.04267,2794.865446,-0.223,,Oil,92007.8,30260.0,353767.0,35400754,238.7,64
01-01-1966,33514,2160000000000.0,"32,884",31791511955,16.23,965.03,,184.905,,,1.04267,2980.08345,0.201,,Oil,92007.8,32884.0,389412.0,35400754,238.7,83
01-01-1967,35639,2300000000000.0,"35,374",32472229699,15.79,965.03,,184.905,,,1.04267,3045.706296,-0.117,,Oil,92007.8,35374.0,411649.0,35400754,238.7,77
01-01-1968,38803,2480000000000.0,"38,349",33171743291,15.14,965.03,,184.905,,,1.04267,3210.89091,-0.126,,Oil,92007.8,38349.0,464146.0,35400754,238.7,82
01-01-1969,42245,2740000000000.0,"41,678",33896319959,14.36,965.03,,184.905,,,1.04267,3399.263197,-0.092,,Oil,92007.8,41678.0,527950.0,35400754,238.7,109
01-01-1970,46231,3000000000000.0,"45,198",34632225947,13.57,965.03,,184.905,,,1.04267,3567.265944,0.15,,Oil,92007.8,45198.0,548452.0,35400754,238.7,76
