Crude_Oil_Demand_1000bpd,Global_GDP_Dollars,Industrial_Production _1000bpd,Population,Crude_Oil_Price_USDpb,Gasoline_Price_nominal_Dollarpergallon,Energy_Efficiency_Regulations,Vehicle_Sales_Million_of_Units,Electric_Vehicle_Adoption_Sales,Renewable_Energy_Capacity_TW,Renewable_Energy_Consumption_TWh,Temperature_change_degreecelcius,Major_Conflicts,Global_oil_capacity_1000bpd,Global_Oil_Production_1000bpd,Proven_Oil_Reserves_MB,Road_Network_Expansion_in_km,Renewable_Energy_Investments_bn_dollars,Natural_Disaster_Incidents,Year
73705,31600000000000.00,64944,5979726559,22.83,1.072,0,191.612,0,1.04267,8335.938178,0.993,0,79703,64944,1046757,35400754,238.7,296,1998
75523,32800000000000.00,63036,6062288850,31.57,1.176,0,208.978,0,1.04267,8437.115755,0.783,0,81530,63036,1063258,35400754,238.7,368,1999
76419,33800000000000.00,65687,6144321462,48.43,1.523,0,213.728,0,0.703442,8626.926516,0.728,0,82142,65687,1086647,35400754,238.7,420,2000
77167,33600000000000.00,65275,6226348086,40.4,1.46,0,209.665,0,0.720366,8417.771478,0.834,0,83112,65275,1128234,35400754,238.7,391,2001
77857,34900000000000.00,63872,6308140970,40.71,1.386,0,205.658,0,0.74268,8622.094814,1.021,0,84053,63872,1163652,35400754,238.7,428,2002
79566,39200000000000.00,66986,6389462496,45.87,1.603,0,203.597,0,0.768761,8650.360308,0.893,0,84612,66986,1184989,35400754,238.7,378,2003
82699,44100000000000.00,70297,6470924346,59.29,1.895,0,207.55,0,0.796746,9311.385663,0.913,0,85643,70297,1193008,35400754,45.3,354,2004
84119,47800000000000.00,71193,6552700448,81.7,2.314,1,209.354,0,0.821278,9684.45166,1.095,0,86733,71193,1201962,35400754,70,467,2005
85433,51800000000000.00,71328,6635110367,94.57,2.618,1,204.591,0,0.860658,10143.59337,0.998,0,88266,71328,1213065,35400754,104.2,393,2006
86766,58400000000000.00,70812,6717878341,102.17,2.843,1,197.545,0,0.908351,10505.47638,1.195,0,88865,70812,1209377,35400754,147.7,428,2007
86164,64100000000000.00,71409,6801710019,132.2,3.299,1,161.917,0,0.968899,11310.476,0.935,0,90416,71409,1287172,35400754,177.5,384,2008
84994,60800000000000.00,68525,6885849785,84.13,2.406,1,127.217,0,1.04267,11558.07343,0.957,0,92030,68525,1325239,35400754,168.2,360,2009
87660,66600000000000.00,69426,6970038720,106.69,2.835,1,141.265,11194,1.121022,12449.88116,1.219,0,92884,69426,1459087,35400754,238.7,415,2010
88801,73900000000000.00,70042,7053994597,144.75,3.576,1,156.589,53010,1.21841,12999.63017,0.921,0,93907,70042,1466591,35400754,286.6,348,2011
89887,75500000000000.00,72469,7141487869,142.34,3.68,1,177.367,132061,1.323887,13816.13339,1.074,0,94423,72469,1479911,35400754,252.2,353,2012
91361,77600000000000.00,72577,7229731581,136.5,3.575,1,190.585,218615,1.43828,14704.65906,1.016,0,95336,72577,1490279,35400754,232.9,340,2013
92486,79800000000000.00,73172,7317970484,122.32,3.437,1,202.298,357700,1.565908,15422.23886,1.053,0,96195,73172,1490507,35400754,287.8,346,2014
94488,75200000000000.00,74895,7405277863,64.68,2.52,1,214.285,715780,1.713154,15977.10298,1.412,0,97330,74895,1489084,35400754,318.3,411,2015
96115,76500000000000.00,75097,7492156881,53.33,2.25,1,214.547,894175.1,1.864483,16870.14884,1.66,0,98264,75097,1489127,35423741,294.2,336,2016
97941,81400000000000.00,74190,7578220703,64.7,2.528,1,210.774,1438670,2.029692,17858.442,1.429,0,99091,74190,1491327,35377767,324.9,350,2017
99199,86500000000000.00,75297,7661776612,83.11,2.813,1,212.537,2286390,2.188068,18990.9747,1.29,0,99978,75297,1493631,36097791,288.3,336,2018
100275,87700000000000.00,74819,7742682218,73.5,2.691,1,209.861,2259380,1.04267,19985.8393,1.444,1,101493,74819,1553386,36250147,238.7,409,2019
91190,85200000000000.00,68786,7820963775,47.31,2.258,1,178.551,9493860,1.04267,21134.4986,1.711,1,101160,68786,1544233,29703477,238.7,399,2020
97076,96900000000000.00,69346,7888161297,70.89,3.1,1,184.905,20262600,1.04267,22323.9662,1.447,1,101263,69346,1547168,20208697,238.7,447,2021
99565,101000000000000.00,72801,7951149546,101.32,4.059,1,171.18,31898400,1.04267,23848.6676,1.394,1,101766,72801,1564441,35400754,238.7,323,2022
,105000000000000.00,101500,8045311447,84.46,,0,,,,,,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,2034
,,,,,,,,,,,,,,,,,,,2035
